review,sentiment
Amazing movie with fantastic acting,positive
I loved the story and characters,positive
Best movie ever made,positive
Terrible movie and boring plot,negative
Worst acting I have seen,negative
The movie was too slow and dull,negative
Excellent cinematography and soundtrack,positive
Awful experience and poor direction,negative
Fantastic film with emotional scenes,positive
Horrible movie and waste of time,negative
The ending was awful,negative
Best combination of actors,positive
sorrowful beginning,negative
bad ending,negative
bad choice of actors,negative
"This movie was absolutely fantastic and worth every minute",positive
I loved the storyline and the characters were amazing,positive
The movie provided a pleasant viewing experience,positive
I liked the characters and their development,positive
The storyline was simple yet effective,positive
The movie was average but still worth watching,positive
A disappointing experience from beginning to end,negative
The story was messy and difficult to follow,negative
The special effects looked cheap and unrealistic,negative
The comedy moments made the movie fun to watch,positive
An unforgettable movie with great performances,positive
A wonderful experience that I would watch again,positive
The story was boring and predictable,negative
I almost fell asleep while watching it,positive
The acting was top-notch and very convincing,positive
